file,time,bags,width,vertices
./75-22-3-q.cnf,0.0968,2283,17,2332
./75-22-4-q.cnf,0.0943919,2275,19,2332
./75-22-5-q.cnf,0.0793679,2272,14,2332
./75-22-6-q.cnf,0.0996791,2272,19,2332
./75-22-7-q.cnf,0.107154,2264,20,2332
./75-22-8-q.cnf,0.0749209,2274,18,2332
./75-22-9-q.cnf,0.122937,2273,15,2332
./75-23-1-q.cnf,0.107105,2492,12,2553
./75-23-10-q.cnf,0.12057,2493,16,2553
./75-23-2-q.cnf,0.127625,2493,18,2553
./75-23-3-q.cnf,0.122324,2485,16,2553
./75-23-4-q.cnf,0.10198,2484,15,2553
./75-23-5-q.cnf,0.139041,2491,17,2553
./75-23-6-q.cnf,0.117136,2495,17,2553
./75-23-7-q.cnf,0.10247,2491,17,2553
./75-23-8-q.cnf,0.126071,2496,16,2553
./75-23-9-q.cnf,0.0937261,2490,17,2553
./75-24-1-q.cnf,0.193496,2710,16,2784
./75-24-10-q.cnf,0.146319,2707,18,2784
./75-24-2-q.cnf,0.021414,1,0,0
./75-24-3-q.cnf,0.110083,2715,20,2784
./75-24-4-q.cnf,0.0971491,2733,14,2784
./75-24-5-q.cnf,0.104514,2711,16,2784
./75-24-6-q.cnf,0.119936,2709,20,2784
./75-24-7-q.cnf,0.115145,2719,14,2784
./75-24-8-q.cnf,0.107373,2721,17,2784
./75-24-9-q.cnf,0.112299,2713,18,2784
./75-25-1-q.cnf,0.138202,2961,15,3025
./75-25-10-q.cnf,0.0960359,2954,17,3025
./75-25-2-q.cnf,0.167629,2959,15,3025
./75-25-3-q.cnf,0.134757,2942,19,3025
./75-25-4-q.cnf,0.153947,2945,16,3025
./75-25-5-q.cnf,0.197008,2941,17,3025
./75-25-6-q.cnf,0.152456,2938,21,3025
./75-25-7-q.cnf,0.127553,2946,20,3025
./75-25-8-q.cnf,0.126754,2938,21,3025
./75-25-9-q.cnf,0.111157,2960,16,3025
./75-26-1-q.cnf,0.127725,3203,15,3276
./75-26-10-q.cnf,0.146781,3185,17,3276
./75-26-2-q.cnf,0.124487,3200,19,3276
./75-26-3-q.cnf,0.132209,3195,18,3276
./75-26-4-q.cnf,0.127798,3207,16,3276
./75-26-5-q.cnf,0.147573,3195,19,3276
./75-26-6-q.cnf,0.123749,3205,18,3276
./75-26-7-q.cnf,0.104293,3203,14,3276
./75-26-8-q.cnf,0.170529,3193,19,3276
./75-26-9-q.cnf,0.14518,3189,17,3276
./90-10-1-q.cnf,0.029469,452,5,460
./90-10-10-q.cnf,0.0222791,454,4,460
./90-10-2-q.cnf,0.0164211,1,0,0
./90-10-3-q.cnf,0.026469,454,4,460
./90-10-4-q.cnf,0.044481,449,4,460
./90-10-5-q.cnf,0.023205,449,4,460
./90-10-6-q.cnf,0.019103,1,0,0
./90-10-7-q.cnf,0.017052,451,5,460
./90-10-8-q.cnf,0.012786,1,0,0
./90-10-9-q.cnf,0.0300611,450,6,460
./90-12-1-q.cnf,0.0228129,664,6,672
./90-12-10-q.cnf,0.0325519,660,6,672
./90-12-2-q.cnf,0.0326821,658,4,672
./90-12-3-q.cnf,0.035929,655,5,672
./90-12-4-q.cnf,0.0335729,661,6,672
./90-12-5-q.cnf,0.0254231,664,4,672
./90-12-6-q.cnf,0.034335,659,6,672
./90-12-7-q.cnf,0.0347651,659,8,672
./90-12-8-q.cnf,0.027887,653,7,672
./90-12-9-q.cnf,0.0132031,1,0,0
./90-14-1-q.cnf,0.0392161,915,6,924
./90-14-10-q.cnf,0.043244,908,6,924
./90-14-2-q.cnf,0.0310529,915,5,924
./90-14-3-q.cnf,0.0293229,910,4,924
./90-14-4-q.cnf,0.0196591,1,0,0
./90-14-5-q.cnf,0.0332791,911,8,924
./90-14-6-q.cnf,0.036542,914,6,924
./90-14-7-q.cnf,0.0433179,913,7,924
./90-14-8-q.cnf,0.030098,913,6,924
./90-14-9-q.cnf,0.0301631,912,5,924
./90-15-1-q.cnf,0.042562,1049,6,1065
./90-15-10-q.cnf,0.035646,1051,6,1065
./90-15-2-q.cnf,0.046969,1047,10,1065
./90-15-3-q.cnf,0.0483119,1050,8,1065
./90-15-4-q.cnf,0.0311829,1055,5,1065
